passage_id,question,passage
2001_1198_11,Jak informacja publiczna może być udostępniana?,"Art. 11. Informacja publiczna może być udostępniana: 1) w drodze wyłożenia lub wywieszenia w miejscach ogólnie dostępnych, 2) przez zainstalowane w miejscach, o których mowa w pkt 1, urządzenia umożliwiające zapoznanie się z tą informacją."
1997_449_31,Czy osoba która ma obywatelstwo polskie może być Funkcjonariuszem Inspekcji Celnej?,"Art. 31. 1. Funkcjonariuszem Inspekcji Celnej może być osoba, która: 1) posiada wyłącznie obywatelstwo polskie, 2) ma nienaganną opinię i nie była karana za przestępstwo popełnione z winy umyślnej, 3) posiada wyższe wykształcenie, 4) złożyła z wynikiem pozytywnym egzamin kwalifikacyjny. 2. Generalny Inspektor Celny może powołać na stanowisko funkcjonariusza Inspekcji Celnej osobę nie spełniającą warunku, o którym mowa w ust. 1 pkt 3, w przypadku posiadania przez nią szczególnie przydatnych umiejętności. 3. Pracownik zatrudniony po raz pierwszy w Inspekcji Celnej odbywa dwunastomiesięczną praktykę zakończoną kursem specjalistycznym oraz egzaminem kwalifikacyjnym. 4. Generalny Inspektor Celny może zaliczyć na poczet praktyki poprzednie zatrudnienie umożliwiające nabycie umiejętności przydatnych do wykonywania zadań i czynności przewidzianych w niniejszej ustawie i skrócić okres praktyki do sześciu miesięcy. 5. Pracownik, który spełnia warunki określone w ust. 1 i 3, może być powołany przez Generalnego Inspektora Celnego na stanowisko funkcjonariusza Inspekcji Celnej. 6. Pracownik, który otrzymał negatywną ocenę z egzaminu kwalifikacyjnego, może ponownie składać taki egzamin - nie wcześniej jednak niż po upływie sześciu miesięcy. 7. Generalny Inspektor Celny określa, w drodze zarządzenia, szczegółowe warunki odbywania praktyki oraz zasady organizacji kursów specjalistycznych i przeprowadzania egzaminów kwalifikacyjnych, a także obowiązujące kryteria kwalifikacji."
1997_117_257,Czy osoba która ma obywatelstwo polskie może być Funkcjonariuszem Inspekcji Celnej?,"Art. 257. § 1. Na listę agentów celnych wpisuje się osobę fizyczną, jeżeli spełnia następujące warunki: 1) posiada obywatelstwo polskie, 2) ma pełną zdolność do czynności prawnych, 3) korzysta z pełni praw publicznych, 4) posiada co najmniej średnie wykształcenie, 5) nie jest skazana prawomocnym wyrokiem za przestępstwo przeciwko dokumentom, mieniu, przestępstwo gospodarcze lub przestępstwo skarbowe, 6) swoim postępowaniem daje rękojmię prawidłowego wykonywania czynności agenta celnego, 7) złożyła z wynikiem pozytywnym egzamin na agenta celnego przed komisją egzaminacyjną, powoływaną przez Prezesa Głównego Urzędu Ceł, 8) wystąpiła z wnioskiem o wpis na listę agentów celnych, nie później niż w okresie 2 lat od spełnienia warunku określonego w pkt 7. § 2. Listę agentów celnych prowadzi Prezes Głównego Urzędu Ceł. § 3. Prezes Głównego Urzędu Ceł skreśla z listy agentów celnych osobę w wypadku: 1) gdy został naruszony jeden z warunków, o których mowa w § 1, 2) niewykonywania czynności agenta celnego przez okres co najmniej dwóch lat, 3) jej śmierci. § 4. Prezes Głównego Urzędu Ceł może zawiesić działalność agenta celnego na czas toczącego się przeciwko osobie agenta postępowania karnego o przestępstwo wymienione w § 1 w pkt 5."
1998_577_11,Kto sprawuje nadzór na działalnością wojewody?,"Art. 11. 1. Prezes Rady Ministrów sprawuje nadzór nad działalnością wojewody i dokonuje okresowej oceny jego pracy. 2. Nadzór nad działalnością wojewody sprawowany jest pod względem zgodności jego działania z prawem oraz polityką rządu, a także pod względem rzetelności i gospodarności. 3. Prezes Rady Ministrów kieruje działalnością wojewody, wydając w tym zakresie zarządzenia i polecenia, także z inicjatywy właściwych ministrów, oraz sprawuje kontrolę nad ich wykonaniem. 4. Prezes Rady Ministrów określa, w drodze zarządzenia, szczegółowe zasady składania przez wojewodę sprawozdania z wykonywanej działalności."
1998_602_133,Ilu radnych wybiera się w jednym okręgu wyborczym?,Art. 133. 1. Radni są wybierani w okręgach wyborczych bezpośrednio spośród zgłoszonych kandydatów. W każdym okręgu wyborczym wybiera się od 3 do 10 radnych. 2. Na jednego kandydata wyborca może oddać tylko jeden głos.
2001_499_48,Ilu radnych wybiera się w jednym okręgu wyborczym?,"Art. 48. 1. Obwodową komisję wyborczą powołuje spośród wyborców, z zastrzeżeniem przepisów art. 49, najpóźniej w 21 dniu przed dniem wyborów zarząd gminy. 2. W skład komisji powołuje się: 1) od 6 do 10 osób spośród kandydatów zgłoszonych przez pełnomocników wyborczych komitetów wyborczych lub upoważnione przez nich osoby, 2) jedną osobę wskazaną przez wójta lub burmistrza (prezydenta miasta): a) dla obwodów głosowania, o których mowa w art. 29, spośród pracowników samorządowych gminy lub gminnych jednostek organizacyjnych, b) dla obwodów w szpitalach i zakładach pomocy społecznej spośród pracowników tych szpitali lub zakładów, c) dla obwodów w zakładach karnych lub aresztach śledczych spośród pracowników tych zakładów lub aresztów. 3. Kandydatami, o których mowa w ust. 2 pkt 1, mogą być tylko osoby ujęte w stałym rejestrze wyborców danej gminy. 4. Pełnomocnik wyborczy komitetu wyborczego lub upoważniona przez niego osoba mogą zgłosić do każdej komisji tylko po jednym kandydacie, o którym mowa w ust. 2 pkt 1. Zgłoszenia dokonuje się najpóźniej w 30 dniu przed dniem wyborów. 5. W wypadku zgłoszenia więcej niż 10 kandydatów skład osobowy komisji ustala się w drodze publicznego losowania przeprowadzonego przez zarząd gminy. 6. Jeżeli liczba kandydatów zgłoszonych w trybie, o którym mowa w ust. 4, jest mniejsza niż 6, uzupełnienia składu komisji do jej minimalnego składu, o którym mowa w ust. 2 pkt 1, dokonuje zarząd gminy spośród osób ujętych w stałym rejestrze wyborców tej gminy. 7. Pierwsze posiedzenie komisji organizuje wójt lub burmistrz (prezydent miasta). 8. Obwodowa komisja wyborcza na pierwszym posiedzeniu wybiera spośród siebie przewodniczącego i jego zastępcę. Skład komisji podaje się do wiadomości publicznej w sposób zwyczajowo przyjęty. 9. Funkcji przewodniczącego i zastępcy przewodniczącego obwodowej komisji wyborczej nie może pełnić osoba wskazana do składu komisji przez wójta lub burmistrza (prezydenta miasta). 10. Po bezskutecznym upływie terminu, o którym mowa w ust. 1, czynności wymienione w tym przepisie wykonuje właściwa okręgowa komisja wyborcza najpóźniej w 15 dniu przed dniem wyborów. 11. Minister właściwy do spraw administracji publicznej, na wniosek Państwowej Komisji Wyborczej, określi, w drodze rozporządzenia, sposób zgłaszania kandydatów do obwodowych komisji wyborczych, wzór zgłoszenia oraz szczegółowe zasady powoływania obwodowych komisji wyborczych, w tym tryb przeprowadzania losowania."
2001_44_10,Kiedy artykuły spożywcze przywiezione z zagranicy mogą być objętą procedurą dopuszczenia do obrotu?,"Art. 10. 1. Artykuły rolno-spożywcze przywożone z zagranicy mogą być objęte procedurą dopuszczenia do obrotu, w rozumieniu przepisów prawa celnego, pod warunkiem przeprowadzenia kontroli jakości handlowej przez organ Inspekcji Jakości Handlowej Artykułów Rolno-Spożywczych i sporządzeniu protokołu z tej kontroli. 2. W przypadku wydania przez organ Inspekcji Jakości Handlowej Artykułów RolnoSpożywczych decyzji o zakazie wprowadzenia artykułów rolno-spożywczych do obrotu, o której mowa w art. 30 ust. 1, organ celny cofa towar za granicę, nadaje mu przeznaczenie celne - powrotny wywóz lub nakazuje jego zniszczenie. 3. Minister właściwy do spraw rynków rolnych, w drodze rozporządzenia, określi wykaz artykułów rolno-spożywczych, o których mowa w ust. 1, oraz ich minimalne ilości podlegające kontroli jakości handlowej, kierując się znaczeniem tych artykułów dla rynku krajowego."
2001_1441_15,Czy specjalne zezwolenie połowowe zawiera wykształcenie armatora statku rybackiego?,"Art. 15. 1. Specjalne zezwolenie połowowe zawiera: 1) imię, nazwisko, miejsce zamieszkania i adres albo nazwę, siedzibę i adres armatora statku rybackiego, 2) określenie organizmów morskich, które mogą być poławiane, 3) kwotę połowową, jeżeli jest wymagana, 4) rejon prowadzenia połowów, 5) rodzaj i ilość narzędzi połowowych, 6) określenie aktywności połowowej statku rybackiego. 2. Określenie kwoty połowowej, o której mowa w ust. 1 pkt 3, następuje poprzez podział ogólnej kwoty połowowej, określonej przez ministra właściwego do spraw rolnictwa na podstawie ust. 3. 3. Minister właściwy do spraw rolnictwa, po zasięgnięciu opinii organizacji społeczno-zawodowych rybaków, określa corocznie, w drodze rozporządzenia, organizmy morskie objęte ogólną kwotą połowową, a także sposób i warunki podziału tej kwoty, mając na względzie ochronę i racjonalne wykorzystanie żywych zasobów morza."
2004_574_16,Czy specjalne zezwolenie połowowe zawiera wykształcenie armatora statku rybackiego?,"Art. 16. 1. Wykonywanie rybołówstwa morskiego w danym roku kalendarzowym wymaga uzyskania specjalnego zezwolenia połowowego. 2. Specjalne zezwolenie połowowe jest wydawane, na wniosek armatora, na statek rybacki, na który wydano licencję, z zastrzeżeniem ust. 3. 3. Armator występujący z wnioskiem o wydanie specjalnego zezwolenia połowowego na statek rybacki, na który nie posiada licencji, składa ten wniosek łącznie z wnioskiem o wydanie licencji. 4. Specjalne zezwolenie połowowe wydaje: 1) minister właściwy do spraw rolnictwa - na połowy w polskiej wyłącznej strefie ekonomicznej, na morzu terytorialnym, w Zatoce Puckiej i w Zatoce Gdańskiej oraz poza polskimi obszarami morskimi; 2) właściwy okręgowy inspektor rybołówstwa morskiego - na połowy w Zalewie Wiślanym, w Zalewie Szczecińskim, na obszarze Zalewu Kamieńskiego i Jeziora Dąbie. 5. Wniosek o wydanie specjalnego zezwolenia połowowego, o którym mowa w ust. 4 pkt 1, składa się za pośrednictwem okręgowego inspektora rybołówstwa morskiego, właściwego dla portu macierzystego statku rybackiego, ktry potwierdza informacje złoone we wniosku. 6. Wniosek o wydanie specjalnego zezwolenia połowowego składa się w terminie do dnia 31 października roku poprzedzającego rok, na który ma być wydane specjalne zezwolenie połowowe, z zastrzeżeniem ust. 7. 7. Po upływie terminu, o którym mowa w ust. 6, armator, który nabył uprawnienie do wykonywania rybołówstwa morskiego na podstawie umowy międzynarodowej albo z innego tytułu, może ubiegać się o wydanie specjalnego zezwolenia połowowego. 8. Wniosek o wydanie specjalnego zezwolenia połowowego zawiera: 1) imię, nazwisko, określenie miejsca zamieszkania i adres albo nazwę, określenie siedziby i adres armatora statku rybackiego; 2) numer licencji połowowej, z zastrzeżeniem ust. 3; 3) określenie organizmów morskich, które będą celem połowu; 4) wnioskowaną kwotę połowową, jeżeli jest wymagana; 5) rejon prowadzenia połowów; 6) rodzaj narzędzi połowowych. 9. W czasie wykonywania rybołówstwa morskiego specjalne zezwolenie połowowe powinno znajdować się na statku rybackim, na który zostało wydane. 10. Minister właściwy do spraw rolnictwa określi, w drodze rozporządzenia, wzór specjalnego zezwolenia połowowego, mając na względzie ujednolicenie tych dokumentów zgodnie z przepisami Unii Europejskiej oraz usprawnienie ich kontroli."
2004_574_12,Czy specjalne zezwolenie połowowe zawiera wykształcenie armatora statku rybackiego?,"Art. 12. 1. Licencję wydaje minister właściwy do spraw rolnictwa na wniosek armatora statku rybackiego. 2. Wniosek o wydanie licencji składa się do ministra właściwego do spraw rolnictwa za pośrednictwem właściwego okręgowego inspektora rybołówstwa morskiego. 3. Licencja na statek rybacki wpisany do rejestru wydawana jest na czas nieokreślony. 4. Wniosek o wydanie licencji zawiera: 1) imię, nazwisko, określenie miejsca zamieszkania i adres albo nazwę, określenie siedziby i adres armatora statku rybackiego; 2) numer identyfikacyjny statku rybackiego; 3) oznakę rybacką. 5. W czasie wykonywania rybołówstwa morskiego licencja powinna znajdować się na statku rybackim, na który została wydana, z wyłączeniem statków rybackich o długości całkowitej poniżej 10 m."
2004_2776_20,Kto może uczestniczyć w zajęciach prowadzonych w klubie dziecięcym?,Art. 20. W zajęciach prowadzonych w klubie dziecięcym mogą uczestniczyć rodzice dzieci uczęszczających do klubu dziecięcego.
2001_1545_1,Jaki Kodeks reguluje stosunki prawne związane z żeglugą morską?,"Art. 1. § 1. Kodeks morski reguluje stosunki prawne związane z żeglugą morską. § 2. W stosunkach cywilnoprawnych związanych z żeglugą morską stosuje się - w braku odpowiednich przepisów Kodeksu morskiego - przepisy prawa cywilnego. § 3. Stosunki pracy na statkach morskich, sprawy bezpieczeństwa morskiego, zapobieganie zanieczyszczaniu morza przez statki oraz inne sprawy w zakresie nieuregulowanym przepisami Kodeksu morskiego, regulują odrębne przepisy."
1998_717_88,Czy zażalenie wstrzymuje wykonanie zaskarżonego rozstrzygnięcia?,"Art. 88. Zażalenie nie wstrzymuje wykonania zaskarżonego rozstrzygnięcia lub czynności, chyba że organ, o którym mowa w art. 79 § 2, lub organ odwoławczy postanowi inaczej."
2002_1689_7,Jak nazywa się jednostka współpracy administracyjnej w dziedzinie akcyzy?,"Art. 7. 1. Jednostką współpracy administracyjnej w dziedzinie akcyzy jest centralne biuro łącznikowe (ELO), usytuowane w urzędzie obsługującym ministra właściwego do spraw finansów publicznych, które wykonuje zadania w zakresie współpracy administracyjnej w dziedzinie akcyzy, o których mowa w rozporządzeniu Rady (WE) nr 2073/2004 z dnia 16 listopada 2004 r. w sprawie współpracy administracyjnej w dziedzinie podatków akcyzowych (Dz. Urz. UE L 359 z 04.12.2004, str. 1). 2. Minister właściwy do spraw finansów publicznych może wyznaczyć, w drodze zarządzenia, również inną jednostkę do współpracy administracyjnej w dziedzinie akcyzy, określonej w rozporządzeniu, o którym mowa w ust. 1, określając zakres jej obowiązków, a także zasady jej współpracy z organami podatkowymi w zakresie akcyzy. Dział II Opodatkowanie akcyzą wyrobów akcyzowych Rozdział 1 Przedmiot opodatkowania i powstanie obowiązku podatkowego"
2001_1545_266,Kiedy armator nie ponosi odpowiedzialności?,"Art. 266. § 1. Armator nie ponosi odpowiedzialności, jeżeli szkoda powstała wskutek siły wyższej, wyłącznej winy umyślnej osoby trzeciej albo wadliwego działania lub zaniechania organów odpowiedzialnych za utrzymanie świateł lub innych urządzeń nawigacyjnych. § 2. Jeżeli szkoda wynikła z winy umyślnej poszkodowanego, odpowiedzialność armatora w stosunku do tej osoby jest wyłączona; w razie rażącego niedbalstwa poszkodowanego odpowiedzialność armatora może być wyłączona w całości lub odpowiedniej części."
2001_1088_3,Kto sprawuje nadzór nad Akademią?,Art. 3. Nadzór nad Akademią sprawuje minister właściwy do spraw szkolnictwa wyższego.
2000_440_3,Kto sprawuje nadzór nad Akademią?,Art. 3. 1. Nadzór nad Akademią sprawuje minister właściwy do spraw szkolnictwa wyższego. 2. Wydział Teologiczny Akademii pozostaje ponadto pod nadzorem władz właściwych Kościołów w zakresie określonym przez Statut uczelni.
2004_2776_13,Czy dyrektorem żłobka może być osoba posiadająca wykształcenie podstawowe?,"Art. 13. 1. Pracą żłobka kieruje dyrektor. 2. Dyrektorem żłobka może być osoba, która posiada: 1) wykształcenie wyższe i co najmniej 3 lata doświadczenia w pracy z dziećmi albo; 2) co najmniej wykształcenie średnie oraz 5 lat doświadczenia w pracy z dziećmi."
