passage_id,question,passage
2003_760_3,Co to prace w szczególnych warunkach?,"Art. 3. 1. Prace w szczególnych warunkach to prace związane z czynnikami ryzyka, które z wiekiem mogą z dużym prawdopodobieństwem spowodować trwałe uszkodzenie zdrowia, wykonywane w szczególnych warunkach środowiska pracy, determinowanych siłami natury lub procesami technologicznymi, które mimo zastosowania środków profilaktyki technicznej, organizacyjnej i medycznej stawiają przed pracownikami wymagania przekraczające poziom ich możliwości, ograniczony w wyniku procesu starzenia się jeszcze przed osiągnięciem wieku emerytalnego, w stopniu utrudniającym ich pracę na dotychczasowym stanowisku; wykaz prac w szczególnych warunkach określa załącznik nr 1 do ustawy. 2. Czynniki ryzyka, o których mowa w ust. 1, są związane z następującymi rodzajami prac: 1) w szczególnych warunkach determinowanych siłami natury: a) prace pod ziemią, b) prace na wodzie, c) prace pod wodą, d) prace w powietrzu; 2) w szczególnych warunkach determinowanych procesami technologicznymi: a) prace w warunkach gorącego mikroklimatu - prace wykonywane w pomieszczeniach, w których wartość wskaźnika obciążenia termicznego WBGT wynosi 28° C i powyżej, przy wartości tempa metabolizmu pracownika powyżej 130 W/m2, b) prace w warunkach zimnego mikroklimatu - prace wykonywane w pomieszczeniach o temperaturze powietrza poniżej 0° C, c) bardzo ciężkie prace fizyczne - prace powodujące w ciągu zmiany roboczej efektywny wydatek energetyczny u mężczyzn - powyżej 8400 kJ, a u kobiet - powyżej 4600 kJ, d) prace w warunkach podwyższonego ciśnienia atmosferycznego, e) ciężkie prace fizyczne związane z bardzo dużym obciążeniem statycznym wynikającym z konieczności pracy w wymuszonej, niezmiennej pozycji ciała; przy czym ciężkie prace fizyczne to prace powodujące w ciągu zmiany roboczej efektywny wydatek energetyczny u mężczyzn - powyżej 6300 kJ, a u kobiet - powyżej 4200 kJ, a prace w wymuszonej pozycji ciała to prace wymagające znacznego pochylenia i (lub) skręcenia pleców przy jednoczesnym wywieraniu siły powyżej 10 kG dla mężczyzn i 5 kG dla kobiet (wg metody OWAS pozycja kategorii 4) przez co najmniej 50% zmiany roboczej. 3. Prace o szczególnym charakterze to prace wymagające szczególnej odpowiedzialności oraz szczególnej sprawności psychofizycznej, których możliwość należytego wykonywania w sposób niezagrażający bezpieczeństwu publicznemu, w tym zdrowiu lub życiu innych osób, zmniejsza się przed osiągnięciem wieku emerytalnego na skutek pogorszenia sprawności psychofizycznej, związanego z procesem starzenia się; wykaz prac o szczególnym charakterze określa załącznik nr 2 do ustawy. 4. Za pracowników wykonujących prace w szczególnych warunkach uważa się pracowników wykonujących po dniu wejścia w życie ustawy, w pełnym wymiarze czasu pracy, prace, o których mowa w ust. 1. 5. Za pracowników wykonujących prace o szczególnym charakterze uważa się pracowników wykonujących po dniu wejścia w życie ustawy, w pełnym wymiarze czasu pracy, prace, o których mowa w ust. 3. 6. Za pracowników wykonujących prace w szczególnych warunkach uważa się także ubezpieczonych z tytułu działalności twórczej lub artystycznej tancerzy zawodowych, wykonujących po dniu wejścia w życie ustawy prace związane z bardzo ciężkim wysiłkiem fizycznym. 7. Za pracowników wykonujących prace w szczególnych warunkach lub o szczególnym charakterze uważa się również osoby wykonujące przed dniem wejścia w życie ustawy prace w szczególnych warunkach lub w szczególnym charakterze, w rozumieniu art. 3 ust. 1 i 3 ustawy lub art. 32 i art. 33 ustawy o emeryturach i rentach z FUS. Rozdział 2 Warunki nabywania i utraty prawa do emerytury pomostowej i rekompensaty"
1997_484_13,Czy składki płacone przez pracodawców należą do dochodów Funduszu?,"Art. 13. Dochodami Funduszu są: 1) składki płacone przez pracodawców, 2) zwroty sum wypłaconych tytułem świadczeń pracowniczych, 3) odsetki od lokat nadwyżek finansowych Funduszu, 4) zapisy i darowizny, 5) dobrowolne wpłaty pracodawców, 6) inne przychody określone w odrębnych przepisach."
1996_3_8.txt,Czy prawa i obowiązki członków izby określają statut izby?,"Art. 8. 1. Izby działają na podstawie ustawy i statutu. 2. Statut izby określa w szczególności: 1) nazwę i siedzibę izby, 2) teren działania, 3) prawa i obowiązki członków izby, 4) zadania izby oraz sposoby ich realizacji, 5) strukturę organizacyjną, 6) tryb wyboru i odwoływania organów izby, 7) zasady reprezentowania izby na zewnątrz, 8) zasady zawierania porozumień regionalnych, 9) zasady powoływania i pracy komisji problemowych, 10) zasady gospodarki finansowej, w tym sposób dysponowania majątkiem oraz zaciągania zobowiązań majątkowych. Rozdział 3 Organy izby"
2000_1319_48,Kto podpisuje protokół przesłuchania świadka?,"Art. 48. 1. Zeznanie świadka, po spisaniu do protokołu, będzie mu odczytane i, stosownie do okoliczności, na podstawie jego uwag uzupełnione lub sprostowane. 2. Protokół przesłuchania świadka podpisuje świadek i prowadzący przesłuchanie pracownik Urzędu."
1997_926_174,Kto podpisuje protokół przesłuchania świadka?,"Art. 174. § 1. Protokół przesłuchania powinien być odczytany i przedłożony do podpisu osobie zeznającej niezwłocznie po złożeniu zeznania. § 2. W protokółach przesłuchania osoby, która złożyła zeznanie w języku obcym, należy podać w przekładzie na język polski treść złożonego zeznania oraz wskazać osobę i adres tłumacza, który dokonał przekładu. Tłumacz powinien podpisać protokół przesłuchania."
1995_59_47,Kto podpisuje protokół przesłuchania świadka?,"Art. 47. 1. Z zeznań świadka niezwłocznie sporządza się protokół, który przed podpisaniem daje się świadkowi do odczytania lub na jego żądanie odczytuje się mu czyniąc o tym wzmiankę. 2. Protokół oraz każdą jego stronę podpisują przesłuchujący i świadek. Skreślenia, poprawki i uzupełnienia wymagają omówienia na końcu protokołu i podpisania przez osoby podpisujące protokół. 3. W protokołach przesłuchania świadka, który złożył zeznanie w języku obcym, podaje się w przekładzie na język polski treść złożonego zeznania oraz wskazuje tłumacza. Tłumacz podpisuje protokół przesłuchania. 4. Odmowę lub niemożność podpisania protokołu przez świadka omawia się na końcu protokołu."
1997_31_21,Kto określa określa sposób postępowania terenowych organów Państwowej Inspekcji Weterynaryjnej?,"Art. 21. Główny Lekarz Weterynarii określa sposób postępowania terenowych organów Państwowej Inspekcji Weterynaryjnej wskazując, które ze środków przewidzianych w ustawie stosuje się do zwalczania poszczególnych chorób zakaźnych zwierząt."
1996_460_121,Ile wynosiła stopa procentowa składek na ubezpieczenie wypadkowe za okres od 1 stycznia do 31 grudnia 1999.,"Art. 121. Stopa procentowa składek na ubezpieczenie wypadkowe za okres od dnia 1 stycznia do dnia 31 grudnia 1999 r. wynosi 2,03% podstawy wymiaru."
2001_499_30,Co tworzy Fundusz Ekspercki?,"Art. 30. 1. Partia polityczna tworzy Fundusz Ekspercki. 2. Środki finansowe gromadzone w ramach Funduszu Eksperckiego mogą pochodzić jedynie z wpłat własnych partii politycznej. 3. Partia polityczna, która otrzymuje subwencję, przekazuje od 5% do 15% subwencji na Fundusz Ekspercki. 4. Środki finansowe zgromadzone w ramach Funduszu Eksperckiego mogą być wykorzystane na finansowanie ekspertyz prawnych, politycznych, socjologicznych i społeczno-ekonomicznych oraz finansowanie działalności wydawniczo-edukacyjnej, związanych z działalnością statutową partii politycznej. 5. Środki finansowe Funduszu Eksperckiego gromadzi się na oddzielnym subkoncie rachunku bankowego partii politycznej.""; 7) w art. 31: a) w ust. 1 wyrazy ""dotacja celowa"" zastępuje się wyrazem ""subwencja"", a wyrazy ""dotacji celowych"" zastępuje się wyrazem ""subwencji"", b) w ust. 2 wyraz ""Dotacja"" zastępuje się wyrazem ""Subwencja"", c) w ust. 3 wyrazy ""dotacja celowa"" zastępuje się wyrazem ""subwencja""; 8) art. 32-34 otrzymują brzmienie: ""Art. 32. W razie skrócenia kadencji Sejmu prawo do subwencji przysługujących partiom politycznym wygasa z końcem kwartału, w którym zakończyła się kadencja Sejmu."
1997_554_21,Czy kościelne osoby prawne mają prawo do zbierania ofiar na cele naukowe?,"Art. 21. 1. Kościelne osoby prawne mają prawo do zbierania ofiar na cele kościelne, działalność charytatywno-opiekuńczą, naukową, oświatową i wychowawczą. 2. Zbiórki wymienione w ust. 1 nie wymagają pozwolenia właściwego organu, jeżeli odbywają się w obrębie terenów kościelnych, kaplic oraz miejsc zwyczajowo przyjętych w danej okolicy i w sposób tradycyjnie ustalony."
1997_557_211,Po ilu dniach zwalnia się tymczasowo aresztowanego?,"Art. 211. § 1. Po przyjęciu tymczasowo aresztowanego do aresztu śledczego bezzwłocznie zawiadamia się o tym organ, do którego dyspozycji tymczasowo aresztowany pozostaje. § 2. Tymczasowo aresztowany ma prawo bezzwłocznie po osadzeniu go w areszcie śledczym, zawiadomić o miejscu swojego pobytu osobę najbliższą albo inną osobę, stowarzyszenie, organizację lub instytucję, a także swojego obrońcę. Tymczasowo aresztowany cudzoziemiec ma ponadto prawo powiadomić właściwy urząd konsularny, a w razie braku takiego urzędu - właściwe przedstawicielstwo dyplomatyczne. § 3. Tymczasowo aresztowanego zwalnia się w dniu, w którym upływa termin zastosowania tymczasowego aresztowania. § 4. Wykonanie środka zabezpieczającego wobec tymczasowo aresztowanego następuje po uchyleniu tymczasowego aresztowania."
2001_1381_80,Kiedy Główny Inspektor Farmaceutyczny odmawia udzielenie zezwolenia na prowadzenie hurtowni farmaceutyczne?,"Art. 80. 1. Główny Inspektor Farmaceutyczny odmawia udzielenia zezwolenia na prowadzenie hurtowni farmaceutycznej: 1) gdy wnioskodawca nie spełnia warunków prowadzenia hurtowni określonych w art. 77-79, 2) gdy wnioskodawcy w okresie trzech lat przed złożeniem wniosku cofnięto zezwolenie na prowadzenie apteki lub hurtowni farmaceutycznej, 3) gdy wnioskodawca prowadzi lub wystąpił z wnioskiem o wydanie zezwolenia na prowadzenie apteki. 2. W przypadku hurtowni produktów leczniczych weterynaryjnych decyzje, o których mowa w ust. 1, wydaje Główny Lekarz Weterynarii."
1997_555_139,Kiedy pismo uważa się za doręczone?,"Art. 139. § 1. Jeżeli strona, nie podając nowego adresu, zmienia miejsce zamieszkania lub nie przebywa pod wskazanym przez siebie adresem, pismo wysłane pod tym adresem uważa się za doręczone. § 2. W postępowaniu sądowym przepis § 1 stosuje się do pism wysłanych do oskarżonego dopiero po doręczeniu mu aktu oskarżenia. § 3. Przepis § 1 nie dotyczy pism wysyłanych po raz pierwszy po prawomocnym zakończeniu postępowania oraz do oskarżonego, co do którego umorzono postępowanie lub zapadł wyrok uniewinniający, chyba że oskarżony został już zawiadomiony o przyjęciu apelacji oskarżyciela."
1997_555_130,Kiedy pismo uważa się za doręczone?,"Art. 130. Pisma doręcza się za pokwitowaniem odbioru. Odbierający potwierdza odbiór swym czytelnym podpisem zawierającym imię i nazwisko na zwrotnym pokwitowaniu, na którym doręczający potwierdza swym podpisem sposób doręczenia."
1998_1118_101,Kiedy prawo do świadczeń ustaje?,"Art. 101. Prawo do świadczeń ustaje: 1) gdy ustanie którykolwiek z warunków wymaganych do uzyskania tego prawa, 2) ze śmiercią osoby uprawnionej."
2001_44_17,Co należy do zadań inspekcji?,"Art. 17. 1. Do zadań Inspekcji należy : 1) nadzór nad jakością handlową artykułów rolno-spożywczych, a w szczególności: a) kontrola jakości handlowej artykułów rolno-spożywczych w produkcji i obrocie, w tym wywożonych za granicę, b) kontrola jakości handlowej artykułów rolno-spożywczych sprowadzanych z zagranicy, c) dokonywanie oceny i wydawanie świadectw w zakresie jakości handlowej artykułów rolno-spożywczych, 2) kontrola warunków składowania i transportu artykułów rolno-spożywczych, 3) gromadzenie i przetwarzanie informacji o sytuacji na rynkach rolnych, 4) współpraca z właściwymi organami innych inspekcji, urzędami celnymi oraz jednostkami samorządu terytorialnego, 5) współpraca lub uczestnictwo w międzynarodowych organizacjach zajmujących się jakością handlową artykułów rolno-spożywczych oraz międzynarodowym obrotem artykułami rolno-spożywczymi, 6) prowadzenie szkoleń w zakresie przepisów i wymagań dotyczących jakości handlowej artykułów rolno-spożywczych, 7) współpraca z urzędowymi jednostkami kontrolnymi za granicą w zakresie jakości handlowej artykułów rolno-spożywczych, 8) wykonywanie innych zadań określonych w odrębnych przepisach, a w szczególności w przepisach: o nawozach i nawożeniu, środkach żywienia zwierząt, rolnictwie ekologicznym i organizacji rynków rolnych. 2. Minister właściwy do spraw rynków rolnych określi, w drodze rozporządzenia, szczegółowe zasady organizacji Inspekcji, mając na względzie usprawnienie i ujednolicenie funkcjonowania jej organów. 3. Nadzór nad jakością handlową artykułów rolno-spożywczych w obrocie detalicznym sprawuje Inspekcja Handlowa."
1997_553_246,Jakiej karze podlega funkcjonariusz publiczny stosujący przemoc nad inną osobą w celu uzyskania zeznań?,"Art. 246. Funkcjonariusz publiczny lub ten, który działając na jego polecenie w celu uzyskania określonych zeznań, wyjaśnień, informacji lub oświadczenia stosuje przemoc, groźbę bezprawną lub w inny sposób znęca się fizycznie lub psychicznie nad inną osobą, podlega karze pozbawienia wolności od roku do lat 10."
2004_1693_14,Jak jest prowadzona polityka ochrony środowiska?,"Art. 14. 1. Polityka ochrony środowiska jest prowadzona na podstawie strategii rozwoju, programów i dokumentów programowych, o których mowa w ustawie z dnia 6 grudnia 2006 r. o zasadach prowadzenia polityki rozwoju (Dz. U. z 2009 r. Nr 84, poz. 712, z późn. zm.[5])). 2. Polityka ochrony środowiska jest prowadzona również za pomocą wojewódzkich, powiatowych i gminnych programów ochrony środowiska.”; 7) uchyla się art. 15 i art. 16; 8) w art. 17: a) ust. 1 otrzymuje brzmienie: „1. Organ wykonawczy województwa, powiatu i gminy, w celu realizacji polityki ochrony środowiska, sporządza odpowiednio wojewódzkie, powiatowe i gminne programy ochrony środowiska, uwzględniając cele zawarte w strategiach, programach i dokumentach programowych, o których mowa w art. 14 ust. 1.”, b) ust. 4 otrzymuje brzmienie: „4. Organ, o którym mowa w ust. 1, zapewnia możliwość udziału społeczeństwa, na zasadach i w trybie określonych w ustawie z dnia 3 października 2008 r. o udostępnianiu informacji o środowisku i jego ochronie, udziale społeczeństwa w ochronie środowiska oraz o ocenach oddziaływania na środowisko (Dz. U. z 2013 r. poz. 1235, z późn. zm.[6])), w postępowaniu, którego przedmiotem jest sporządzenie programu ochrony środowiska.”; 9) w art. 18 dodaje się ust. 3 w brzmieniu: „3. Po przedstawieniu raportów odpowiednio sejmikowi województwa, radzie powiatu albo radzie gminy, raporty są przekazywane przez organ wykonawczy województwa, powiatu i gminy odpowiednio do ministra właściwego do spraw środowiska, organu wykonawczego województwa i organu wykonawczego powiatu.”; 10) w art. 76 w ust. 2 w pkt 3 średnik zastępuje się kropką i uchyla się pkt 4; 11) art. 101 otrzymuje brzmienie: „Art. 101. Ochrona powierzchni ziemi polega na: 1) racjonalnym gospodarowaniu; 2) zachowaniu funkcji środowiskowych, gospodarczych, społecznych i kulturowych, w tym między innymi: a) produkcji żywności oraz biomasy, b) magazynowaniu, filtrowaniu i przekształcaniu składników odżywczych, substancji i wody, c) podstaw rozwoju życia i różnorodności biologicznej, d) źródła surowców, e) rezerwuaru pierwiastka węgla, f) zbioru dziedzictwa geologicznego, geomorfologicznego i archeologicznego; 3) zapobieganiu zanieczyszczeniu substancjami powodującymi ryzyko oraz na remediacji; 4) zachowaniu jak najlepszego stanu gleby poprzez zapobieganie: a) erozji wodnej i wietrznej, b) spadkowi zawartości próchnicy glebowej, c) zagęszczaniu, przez co rozumie się wzrost gęstości objętościowej i zmniejszanie porowatości gleby, d) zasoleniu na skutek gromadzenia się w glebie soli rozpuszczalnych, e) działaniom powodującym zakwaszanie; 5) minimalizacji stopnia i łagodzeniu skutków zasklepienia gleby poprzez: a) ograniczanie do niezbędnego minimum powierzchni gleby objętej zabudową, b) zachowywanie lub tworzenie powierzchni biologicznie czynnych gleby, zdolnych do łagodzenia degradującego działania terenów zabudowanych i zanieczyszczeń środowiska; 6) zapobieganiu ruchom masowym ziemi i ich skutkom; 7) przeciwdziałaniu niekorzystnym zmianom naturalnego ukształtowania powierzchni ziemi polegającym na: a) ograniczaniu tworzenia, powstałych w wyniku przemieszczania lub usuwania mas ziemnych i skalnych oraz odpadów wydobywczych, wykopów, wyrobisk, nasypów i zwałowisk, b) zapobieganiu niszczeniu gleby, w tym mieszaniu jej poziomów genetycznych, które nie wynika z uprawy gruntów ornych, c) zapobieganiu i ograniczaniu niszczenia pokrycia terenu roślinnością, d) zapewnieniu racjonalnego wykorzystania przemieszczanych lub usuwanych mas ziemnych i skalnych, e) zapewnieniu racjonalnego wykorzystania warstwy próchnicznej gleb, głównie w kierunku odtworzenia i ulepszania gleb, f) ponownym kształtowaniu funkcji lub przygotowaniu do pełnienia nowych funkcji terenów, na których występuje niekorzystne przekształcenie naturalnego ukształtowania powierzchni ziemi.”; 12) po art. 101 dodaje się art. 101a–101r w brzmieniu: „Art. 101a. 1. Zanieczyszczenie powierzchni ziemi ocenia się na podstawie przekroczenia dopuszczalnych zawartości substancji powodujących ryzyko w glebie lub w ziemi. 2. Dopuszczalna zawartość w glebie i w ziemi substancji powodującej ryzyko oznacza zawartość, poniżej której żadna z funkcji pełnionych przez powierzchnię ziemi nie jest znacząco naruszona, z uwzględnieniem wpływu tej substancji na zdrowie ludzi i stan środowiska. 3. Funkcję pełnioną przez powierzchnię ziemi ocenia się na podstawie jej faktycznego zagospodarowania i wykorzystania, chyba że inna funkcja wynika z planu zagospodarowania przestrzennego. 4. Gleby, ziemi lub wód gruntowych nie uznaje się za zanieczyszczone, jeżeli stwierdzone w niej zawartości substancji są pochodzenia naturalnego. 5. Minister właściwy do spraw środowiska, mając na względzie wpływ niektórych rodzajów działalności na stan powierzchni ziemi, w tym stwarzane przez nie zagrożenie dla zdrowia ludzi i stanu środowiska, oraz kierując się potrzebą ujednolicenia zasad i zminimalizowania kosztów badań zanieczyszczenia gleby i ziemi, określi w drodze rozporządzenia sposób prowadzenia oceny zanieczyszczenia powierzchni ziemi, w tym: 1) substancje powodujące ryzyko szczególnie istotne dla ochrony powierzchni ziemi, ich dopuszczalne zawartości w glebie oraz dopuszczalne zawartości w ziemi, zróżnicowane dla poszczególnych właściwości gleby oraz grup gruntów, wydzielonych w oparciu o sposób ich użytkowania; 2) szczegółowe wymagania dotyczące ustalania dopuszczalnej zawartości w glebie oraz dopuszczalnej zawartości w ziemi substancji powodującej ryzyko, innej niż wskazana w pkt 1, z uwzględnieniem analizy jej wpływu na zdrowie ludzi i stan środowiska; 3) etapy identyfikacji terenów zanieczyszczonych, w szczególności: a) sposób ustalenia działalności mogącej być przyczyną zanieczyszczenia na danym terenie obecnie lub w przeszłości, b) sposób ustalenia listy substancji powodujących ryzyko, których wystąpienie w glebie lub ziemi jest spodziewane ze względu na działalność, o której mowa w lit. a, c) źródła informacji istotne dla oceny zagrożenia zanieczyszczeniem gleby lub ziemi, d) warunki uznawania istniejących badań zanieczyszczenia gleby i ziemi za aktualne, e) etapy i sposób prowadzenia badań zanieczyszczenia gleby i ziemi; 4) rodzaje działalności mogących z dużym prawdopodobieństwem powodować historyczne zanieczyszczenie powierzchni ziemi, wraz ze wskazaniem przykładowych dla tych działalności zanieczyszczeń; 5) referencyjne metodyki wykonywania badań zanieczyszczenia gleby i ziemi; 6) szczegółowe wymagania dotyczące oceny zanieczyszczenia gleby, ziemi lub wód gruntowych na terenie zakładu, gdzie jest lub była w przeszłości eksploatowana instalacja wymagająca uzyskania pozwolenia zintegrowanego, w celu zapewnienia identyfikacji każdego zanieczyszczenia przed uruchomieniem instalacji, w trakcie jej eksploatacji oraz po zamknięciu, w tym wymagania dotyczące zakresu i sposobu sporządzenia raportu początkowego, o którym mowa w art. 208 ust. 2 pkt 4 lit. a, pomiarów, o których mowa w art. 211 ust. 6 pkt 4, i raportu końcowego, o którym mowa w art. 217b ust. 1."
1999_483_28,Czy osoba nie znająca żadnego języka obcego może się ubiegać o mianowanie w służbie cywilnej?,"Art. 28. O uzyskanie mianowania w służbie cywilnej może ubiegać się osoba, która: 1) jest pracownikiem służby cywilnej, 2) odbyła służbę przygotowawczą, z zastrzeżeniem art. 27, 3) posiada co najmniej dwuletni staż pracy w służbie cywilnej, 4) posiada tytuł magistra lub równorzędny, 5) zna co najmniej jeden język obcy, 6) jest żołnierzem rezerwy lub nie podlega powszechnemu obowiązkowi obrony."
2001_785_3,Kto sprawuje nadzór nad Uniwersytetem?,Art. 3. Nadzór nad Uniwersytetem sprawuje minister właściwy do spraw szkolnictwa wyższego.
1997_883_4,Kto sprawuje nadzór nad Uniwersytetem?,Art. 4. 1. Nadzór nad Uniwersytetem sprawuje Minister Edukacji Narodowej. 2. Wydział Teologiczny Uniwersytetu pozostaje ponadto pod nadzorem władz Kościoła Katolickiego w zakresie ustalonym przez statut uczelni.